x,y,z,density,r,g,b
-1.7614858,1.5503421,0.33822095,70.93179,0.3841146,0.3228353,0.2397054
-1.655914,1.9139785,0.10361683,71.20941,0.6904704,0.56449383,0.23803711
-1.9921799,1.6911047,0.5454545,52.60918,0.6866048,0.5583293,0.24884033
-1.941349,1.5777125,0.5728251,65.34543,0.3146769,0.17611694,0.11344401
-1.8475074,1.6950147,0.5454545,98.47904,0.55741376,0.45102945,0.2943522
-1.8396872,1.6989248,0.5454545,69.018524,0.4644979,0.39111328,0.28649902
-1.824047,1.7341154,0.58455527,77.90333,0.51505536,0.31388345,0.23323567
-1.8044965,1.941349,0.65102637,137.25974,0.4466146,0.27864584,0.14714558
-1.7966764,1.941349,0.65102637,124.00384,0.3724772,0.22032674,0.17762248
-1.7458456,1.9257087,0.7174976,67.948494,0.76208496,0.5380452,0.20101929
-1.6676441,1.7341154,0.5219941,74.9189,0.556071,0.3645223,0.29423013
-1.6520039,1.7458456,0.8973607,66.89505,0.66153973,0.3853353,0.14760844
-1.6520039,1.7458456,0.90127075,75.5065,0.76171875,0.46818033,0.1610616
-1.6050831,1.8905181,0.7917888,92.87458,0.6199544,0.41959634,0.14680989
-1.601173,1.8905181,0.7917888,154.32527,0.65804034,0.44205728,0.14100139
-2.0,1.6676441,1.1476051,97.33172,0.5699056,0.48384604,0.31111655
-1.9726295,1.9530792,1.1749756,57.442314,0.51171875,0.35186768,0.19312541
-1.9257087,1.5503421,1.3040078,54.491615,0.4543457,0.3212687,0.19803874
-1.8944281,1.6676441,1.1476051,115.58429,0.56522626,0.40799966,0.23133342
-1.827957,1.941349,1.4721408,53.6468,0.50720215,0.37164307,0.20683797
-1.7614858,1.6793745,1.0420332,59.034676,0.24058025,0.22363281,0.2117513
-1.7458456,1.9530792,1.2375367,337.0774,0.508667,0.27183023,0.13865662
-1.6676441,1.6676441,1.3313782,76.09871,0.3111979,0.24446614,0.21150716
-1.941349,1.6676441,1.5112414,56.111668,0.59122723,0.45937094,0.25804648
-1.9217986,1.6676441,1.5112414,240.89833,0.32912192,0.2088623,0.11005656
-1.9178885,1.6715543,1.5112414,83.57807,0.39933267,0.27469888,0.15361531
-1.9139785,1.6637341,1.5112414,55.89291,0.28830972,0.23360188,0.21117146
-1.9139785,1.6676441,1.5112414,1127.033,0.43473306,0.28544107,0.0998942
-1.9139785,1.6715543,1.5112414,52.19977,0.44807944,0.28383383,0.14785767
-1.9100684,1.6676441,1.5112414,367.3261,0.49617514,0.30295816,0.12539165
-1.8396872,1.5855328,1.8123167,50.69267,0.67826337,0.42830405,0.19766235
-1.8396872,1.5894428,1.8123167,116.49082,0.44681802,0.22449748,0.11728414
-1.8357772,1.601173,1.6285435,79.43984,0.51745605,0.31292725,0.15078735
-1.827957,1.824047,1.6441838,53.22932,0.495402,0.39542642,0.17547607
-1.824047,1.824047,1.6441838,50.298172,0.5214844,0.29368082,0.17967732
-1.824047,1.9960899,1.5151515,156.1444,0.36214194,0.2986145,0.23470052
-1.8201368,1.6168133,1.8475074,53.6468,0.63623047,0.5286662,0.3411255
-1.8162267,1.9296187,1.824047,64.332344,0.55391437,0.4222819,0.26270548
-1.8123167,1.9257087,1.824047,107.736404,0.5819499,0.43676758,0.20223999
-1.8084066,1.9296187,1.824047,74.335884,0.59814453,0.4120687,0.20595296
-1.7966764,1.7458456,1.824047,74.9189,0.5645752,0.3771769,0.20595296
-1.7966764,1.9804497,1.9960899,123.03884,0.46907553,0.3223877,0.2194519
-1.6871946,1.5894428,1.8123167,54.81184,0.5779622,0.30047607,0.18258667
-1.5659823,1.8748778,1.9921799,67.948494,0.45174155,0.3466797,0.15069072
-1.5620723,1.8787879,1.9960899,74.9189,0.58081055,0.43902588,0.16285197
-1.0850439,-0.2991202,-1.5386119,67.68359,0.50931805,0.5088298,0.47115073
-1.4095798,0.14271748,0.3655914,51.69249,0.61291504,0.56966144,0.4855957
-1.4056696,0.14271748,0.3655914,128.44089,0.55655926,0.48783365,0.3839518
-1.3978494,0.14271748,0.3655914,246.61108,0.53519696,0.4698893,0.38834634
-1.4017595,0.6392962,-1.6246334,78.82163,0.5464681,0.5218506,0.4229126
-1.3939394,0.91300094,-1.6285435,69.28866,0.40826416,0.3563436,0.29351807
